event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_18491,,,,,26.890874167024275,91.0429419741424,True,,False,2025-05-31,day,,,,1294.0,28.06559370241474,159.0874523086323,0.0,12.375,True,,0
NEG_18492,,,,,26.138323700655427,88.23897645661881,True,,False,2013-10-06,day,,,,54.0,2.497180288475761,158.19859051364818,0.0,1.0,True,,0
NEG_18493,,,,,27.730278409140375,88.50575133547709,True,,False,2018-06-22,day,,,,4734.0,28.987377874484675,105.25511870305778,0.0010493654015202576,13.625,True,,0
NEG_18494,,,,,26.489612096326553,91.25829315978793,True,,False,2025-05-30,day,,,,45.0,0.9842140238852851,45.0,0.0,0.625,True,,0
NEG_18495,,,,,26.670738773274568,91.13374108413218,True,,False,2014-07-08,day,,,,54.0,2.497180288475761,158.19859051364818,-0.002098730803040515,1.25,True,,0
NEG_18496,,,,,26.353634593345813,88.09442219871508,True,,False,2025-05-31,day,,,,65.0,0.7336218900839592,198.43494882292202,0.003148096204560773,1.0,True,,0
NEG_18497,,,,,26.969823123906373,91.01981776187054,True,,False,2025-05-31,day,,,,1465.0,32.69135739684458,169.82448915695682,-0.010493654015202575,15.75,True,,0
NEG_18498,,,,,26.971025038291977,88.92600877083684,True,,False,2024-05-28,day,,,,354.0,1.8553855108258313,270.0,-0.00419746160608103,1.25,True,,0
NEG_18499,,,,,26.510218476886543,88.81836264769768,True,,False,2020-06-02,day,,,,80.0,3.0221599715334833,32.47119229084849,0.0052468270076012884,1.5,True,,0
NEG_18500,,,,,26.941523906401265,88.98612549795334,True,,False,2007-09-10,day,,,,339.0,3.8206397490046036,14.036243467926468,-0.00419746160608103,1.75,True,,0
NEG_18501,,,,,25.62119692101098,94.98908975632187,True,,False,2016-05-18,day,,,,1129.0,24.87234703551711,117.01266534793854,-0.00839492321216206,11.75,True,,0
NEG_18502,,,,,26.475072144662846,88.3037169055543,True,,False,2015-08-02,day,,,,85.0,1.6400699811412145,135.0,0.003148096204560773,1.0,True,,0
NEG_18503,,,,,26.677061586525912,88.03466842741186,True,,False,2012-06-26,day,,,,149.0,1.037441336361181,296.565051177078,0.0010493654015202576,0.375,True,,0
NEG_18504,,,,,26.051195802440407,91.26530676873885,True,,False,2010-04-02,day,,,,44.0,1.3917519488540016,180.0,0.002098730803040515,0.75,True,,0
NEG_18505,,,,,26.097321107102808,91.0361688631062,True,,False,2025-05-31,day,,,,40.0,1.672531498381725,213.6900675259798,0.0,0.75,True,,0
NEG_18506,,,,,26.88686366856159,88.40828895718704,True,,False,2024-05-28,day,,,,844.0,23.506598203627476,125.90972307917768,-0.00839492321216206,9.625,True,,0
NEG_18507,,,,,27.408325222992527,88.72269631946537,True,,False,2013-10-13,day,,,,3910.0,26.403946777777552,307.71104767638985,-0.00839492321216206,11.375,True,,0
NEG_18508,,,,,26.64544144688617,91.43312898425758,True,,False,2014-06-27,day,,,,78.0,1.3525545544152653,30.963756532073518,-0.002098730803040515,0.875,True,,0
NEG_18509,,,,,26.005785815531567,88.02954671888902,True,,False,2022-05-12,day,,,,47.0,2.703603315270673,329.0362434679265,0.0010493654015202576,1.125,True,,0
NEG_18510,,,,,26.457815496716968,88.65747093377198,True,,False,2024-05-29,day,,,,80.0,0.9842140238852851,135.0,-0.002098730803040515,0.625,True,,0
NEG_18511,,,,,27.841629778041344,88.99385556862848,True,,False,2008-06-15,day,,,,4877.0,10.40392647498394,131.42366562500266,0.002098730803040515,4.5,True,,0
NEG_18512,,,,,26.279294347696805,91.74298531717554,True,,False,2024-08-13,day,,,,106.0,12.998582101706525,111.61477894278624,0.002098730803040515,5.625,True,,0
NEG_18513,,,,,27.047892088499513,88.61756875964456,True,,False,2013-09-01,day,,,,1668.0,19.542313181042083,304.7778313663639,0.0010493654015202576,8.125,True,,0
NEG_18514,,,,,27.409633766751934,88.47846161373275,True,,False,2009-07-01,day,,,,2093.0,16.280491891513307,45.0,0.003148096204560773,7.0,True,,0
NEG_18515,,,,,26.584674799596964,91.11470349071108,True,,False,2014-06-27,day,,,,50.0,1.9678475545111025,135.0,0.0,1.0,True,,0
NEG_18516,,,,,26.963724819360248,88.05697486264769,True,,False,2024-09-12,day,,,,1601.0,19.605641824416317,261.50144112050634,0.00839492321216206,8.625,True,,0
NEG_18517,,,,,26.802055081165047,88.36965537158375,True,,False,2022-04-04,day,,,,186.0,2.3187761415533013,53.13010235415599,0.003148096204560773,1.125,True,,0
NEG_18518,,,,,26.11460078127225,88.22299635114919,True,,False,2024-10-07,day,,,,52.0,1.766332255932799,293.1985905136482,-0.0010493654015202576,0.75,True,,0
NEG_18519,,,,,26.18980652542671,88.46521888887786,True,,False,2024-05-28,day,,,,64.0,1.3525545544152653,239.03624346792648,0.0010493654015202576,0.75,True,,0
NEG_18520,,,,,25.62195514322692,94.43928112531292,True,,False,2024-05-28,day,,,,1339.0,25.85597412732977,170.38027220030114,0.018888577227364638,12.0,True,,0
NEG_18521,,,,,25.043041397696733,94.03466430968457,True,,False,2025-07-06,day,,,,957.0,20.810196849994018,284.1842942482708,-0.018888577227364638,10.875,True,,0
NEG_18522,,,,,26.44897223927995,88.41749312404582,True,,False,2024-07-07,day,,,,85.0,2.364645337583093,11.309932474020215,-0.003148096204560773,1.375,True,,0
NEG_18523,,,,,25.822429110549635,94.6835441819984,True,,False,2012-08-21,day,,,,1348.0,36.508941651408485,143.00472885729286,0.03567842365168876,18.75,True,,0
NEG_18524,,,,,26.797050042997636,88.98938180718193,True,,False,2024-05-28,day,,,,143.0,0.6561785380626193,315.0,0.0,0.25,True,,0
NEG_18525,,,,,26.362551736366456,88.99303516829336,True,,False,2013-02-18,day,,,,63.0,1.672531498381725,56.30993247402021,-0.0010493654015202576,0.625,True,,0
NEG_18526,,,,,27.077070315482654,88.52099699118578,True,,False,2014-09-22,day,,,,1140.0,13.307351206548496,141.9529574681739,0.0010493654015202576,5.625,True,,0
NEG_18527,,,,,26.117810396239115,91.34596832532839,True,,False,2016-05-22,day,,,,43.0,4.257493613969942,247.61986494804043,0.0052468270076012884,2.5,True,,0
NEG_18528,,,,,25.191032039000564,94.9509687179658,True,,False,2016-04-23,day,,,,651.0,12.301253579654846,158.19859051364818,-0.007345557810641804,5.125,True,,0
NEG_18529,,,,,25.117679289837636,94.61439666775266,True,,False,2018-06-14,day,,,,2007.0,23.607986048157787,193.39249775375112,0.0020987308030405156,10.375,True,,0
NEG_18530,,,,,26.87943808804623,91.10741208070398,True,,False,2020-06-28,day,,,,229.0,33.832692717136176,28.113208876055957,-0.00419746160608103,16.25,True,,0
NEG_18531,,,,,26.818610121699063,88.21449205917635,True,,False,2017-06-04,day,,,,579.0,20.75827334124146,40.66768601681148,0.0062961924091215465,9.375,True,,0
NEG_18532,,,,,26.80410023507836,88.11128114546129,True,,False,2024-05-28,day,,,,881.0,20.023332899222005,143.13010235415598,0.015740481022803864,8.875,True,,0
NEG_18533,,,,,26.542194656182353,88.8160476751425,True,,False,2024-09-28,day,,,,82.0,1.182826340705832,258.69006752597977,0.0010493654015202576,0.5,True,,0
NEG_18534,,,,,26.609249090674663,88.30869525263766,True,,False,2025-06-01,day,,,,111.0,1.4670033111077372,18.43494882292201,0.0010493654015202576,0.625,True,,0
NEG_18535,,,,,26.162077962171956,88.14027836254397,True,,False,2023-06-17,day,,,,58.0,2.703603315270673,120.96375653207352,-0.003148096204560773,1.125,True,,0
NEG_18536,,,,,27.886167240735766,88.53308707884976,True,,False,2014-08-17,day,,,,3892.0,38.85156239655479,99.8411317596344,0.012592384818243091,19.25,True,,0
NEG_18537,,,,,26.704524558412984,88.31971766364038,True,,False,2010-06-09,day,,,,140.0,2.0742028577397202,63.43494882292201,-0.0010493654015202576,0.875,True,,0
NEG_18538,,,,,26.197111436204978,88.80274760183225,True,,False,2014-06-26,day,,,,61.0,0.7336218900839592,341.565051177078,-0.0010493654015202576,0.25,True,,0
NEG_18539,,,,,27.15674410818383,88.89276361225168,True,,False,2010-04-22,day,,,,1898.0,16.57364529252484,165.01836742760906,-0.007345557810641804,7.25,True,,0
NEG_18540,,,,,27.245486712337666,88.04256997171908,True,,False,2025-06-01,day,,,,3122.0,21.294840966100825,235.15426658020027,-0.0010493654015202576,9.25,True,,0
